mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,16,0.2,edf+bf,0,1.0,12131685.495496,11972684.524093,12290686.466898,1770783.0,1689968.099385,1851597.900615,1710.0,1665.259908,1754.740092,13904178.495496,13756045.188712,14052311.80228
offline,2048,16,0.2,edf+bf,1,1.0,8048589.204465,7949403.085323,8147775.323608,3366099.05,3068983.385749,3663214.714251,2270.0,2178.840868,2361.159132,11416958.254465,11117720.91584,11716195.593091
offline,2048,16,0.2,edf+spt,0,1.0,12131685.495496,11972684.524093,12290686.466898,1228481.4,1183049.460194,1273913.339806,2330.0,2278.534651,2381.465349,13362496.895496,13207439.895139,13517553.895853
offline,2048,16,0.2,edf+spt,1,1.0,8048589.204465,7949403.085323,8147775.323608,2313967.05,2242886.396764,2385047.703236,3530.0,3443.390362,3616.609638,10366086.254465,10229650.344216,10502522.164715
offline,2048,16,0.2,edf+wf,0,1.0,12131685.495496,11972684.524093,12290686.466898,2308496.6,2125626.57974,2491366.62026,1900.0,1822.117497,1977.882503,14442082.095496,14228661.735767,14655502.455224
offline,2048,16,0.2,edf+wf,1,1.0,8048589.204465,7949403.085323,8147775.323608,3446729.45,3267659.668508,3625799.231492,3140.0,3029.490977,3250.509023,11498458.654465,11264281.200217,11732636.108714
offline,2048,16,0.2,lpt+ff,0,1.0,12131685.495496,11972684.524093,12290686.466898,787796.6,749567.160206,826026.039794,2690.0,2623.457161,2756.542839,12922172.095496,12749788.013516,13094556.177475
offline,2048,16,0.2,lpt+ff,1,1.0,8048589.204465,7949403.085323,8147775.323608,1051290.25,1002056.352293,1100524.147707,3370.0,3311.2,3428.8,9103249.454465,8988387.17433,9218111.734601
offline,2048,1,0.2,edf+bf,0,1.0,12131685.495496,11972684.524093,12290686.466898,0.0,0.0,0.0,25730.0,25245.47735,26214.52265,12157415.495496,11998412.205747,12316418.785245
offline,2048,1,0.2,edf+bf,1,1.0,8048589.204465,7949403.085323,8147775.323608,0.0,0.0,0.0,31750.0,31130.927995,32369.072005,8080339.204465,7981000.281903,8179678.127028
offline,2048,1,0.2,edf+spt,0,1.0,12131685.495496,11972684.524093,12290686.466898,0.0,0.0,0.0,30220.0,29713.743764,30726.256236,12161905.495496,12002931.22031,12320879.770682
offline,2048,1,0.2,edf+spt,1,1.0,8048589.204465,7949403.085323,8147775.323608,0.0,0.0,0.0,37280.0,36703.178539,37856.821461,8085869.204465,7986516.513016,8185221.895915
offline,2048,1,0.2,edf+wf,0,1.0,12131685.495496,11972684.524093,12290686.466898,0.0,0.0,0.0,26000.0,25506.607533,26493.392467,12157685.495496,11998710.865127,12316660.125864
offline,2048,1,0.2,edf+wf,1,1.0,8048589.204465,7949403.085323,8147775.323608,0.0,0.0,0.0,32140.0,31496.443539,32783.556461,8080729.204465,7981382.712934,8180075.695996
offline,2048,1,0.2,lpt+ff,0,1.0,12131685.495496,11972684.524093,12290686.466898,0.0,0.0,0.0,41900.0,40980.458604,42819.541396,12173585.495496,12014406.719544,12332764.271448
offline,2048,1,0.2,lpt+ff,1,1.0,8048589.204465,7949403.085323,8147775.323608,0.0,0.0,0.0,51870.0,50934.426138,52805.573862,8100459.204465,8001312.091858,8199606.317073
offline,2048,2,0.2,edf+bf,0,1.0,12131685.495496,11972684.524093,12290686.466898,437206.8,413888.030248,460525.569752,12930.0,12700.235617,13159.764383,12581822.295496,12420895.924544,12742748.666447
offline,2048,2,0.2,edf+bf,1,1.0,8048589.204465,7949403.085323,8147775.323608,570582.55,546316.958823,594848.141177,15940.0,15633.574166,16246.425834,8635111.754465,8536442.820409,8733780.688521
offline,2048,2,0.2,edf+spt,0,1.0,12131685.495496,11972684.524093,12290686.466898,322347.7,308347.586056,336347.813944,16170.0,15851.696457,16488.303543,12470203.195496,12312298.107875,12628108.283116
offline,2048,2,0.2,edf+spt,1,1.0,8048589.204465,7949403.085323,8147775.323608,469080.45,450336.215565,487824.684435,20470.0,20147.907748,20792.092252,8538139.654465,8436922.714591,8639356.59434
offline,2048,2,0.2,edf+wf,0,1.0,12131685.495496,11972684.524093,12290686.466898,559998.7,534960.689085,585036.710915,13420.0,13130.120809,13709.879191,12705104.195496,12548759.142031,12861449.24896
offline,2048,2,0.2,edf+wf,1,1.0,8048589.204465,7949403.085323,8147775.323608,647242.85,617678.700721,676806.999279,17220.0,16790.679695,17649.320305,8713052.054465,8617628.549986,8808475.558945
offline,2048,2,0.2,lpt+ff,0,1.0,12131685.495496,11972684.524093,12290686.466898,152003.4,140840.527734,163166.272266,21010.0,20544.895154,21475.104846,12304698.895496,12141131.487862,12468266.303129
